Nit_data,X,Y
0.4,408691,360654
0.4,408691,360554
0.4,408691,360454
0.4,408691,360354
0.4,408691,360254
0.3,408691,360154
0.3,408691,360054
0.3,408691,359954
0.3,408691,359854
0.3,408691,359754
0.1,408691,359654
0.1,408691,359554
0.1,408691,359454
0.1,408691,359354
0.09,408691,359254
0.09,408691,359154
0.09,408691,359054
0.09,408691,358954
0.09,408691,358854
0.08,408691,358754
0.08,408691,358654
0.08,408691,358554
0.08,408691,358454
0.08,408691,358354
0.08,408691,358254
0.08,408691,358154
0.08,408691,358054
0.08,408691,357954
0.85,408691,357854
0.85,408691,357754
0.85,408691,357654
0.85,408691,357554
0.2,408691,357454
0.1,408691,357354
0.1,408691,357254
0.1,408691,357154
0.4,408691,357054
0.4,408691,356954
0.4,408691,356854
0.4,408691,356754
0.08,408691,356654
0.5,408691,356554
0.5,408691,356454
0.5,408691,356354
0.5,408691,356254
